Feature,Importance_mean,Importance_std,Short
COG_mean,0.45734360838121435,0.11228863903224469,COG (Cognitive)
REG_mean,0.014982107032457108,0.04165697478728917,REG (Regulative)
NORM_mean,0.008860518165175546,0.03609726155797162,NORM (Normative)
