"Predictor","EduYes","EduNo","Difference","Stronger_in"
"L_COG",-0.528968802833977,-0.67441545554933,0.145446652715353,"EduNo"
"L_REG",0.000909047636612034,0.114665897905457,-0.113756850268845,"EduNo"
"L_NORM",0.0461877613826715,0.123653362125214,-0.0774656007425429,"EduNo"
