,n,OLS_COG_beta,OLS_REG_beta,OLS_NOR_beta,OLS_R2,RF_CV_R2,SHAP_COG,SHAP_REG,SHAP_NORM
EduYes,169.0,-0.4505,0.0068,0.0385,0.1979,0.1109,0.4381,0.1654,0.1637
EduNo,114.0,-0.5499,0.0348,0.1171,0.2662,0.2819,0.5695,0.1872,0.1692
