Predictor,Mean_Delta_Beta,CI_lower,CI_upper,p_approx
COG (Cognitive),0.05225874536995874,-0.15145269411648637,0.24677370655244324,0.591
REG (Regulative),0.05252810303104855,-0.17056745946850138,0.282824051600917,0.646
NORM (Normative),-0.001592565022909196,-0.23344022007766882,0.24466771000291898,0.983
