MOD,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,N1,N2,N3,N4,N5,N6,I1,I2,I3,I4,I5,I6,MEAN_COG,MEAN_REG,MEAN_NORM,MEAN_INT,MOD_bin,MOD_label,Mahalanobis,Mahalanobis_sq,is_outlier,COG_mean,REG_mean,NORM_mean,INT_mean,COG_mean_z,REG_mean_z,NORM_mean_z,INT_mean_z
1,2,2,2,4,4,5,3,2,3,4,4,6,6,6,6,6,4,5,4,3,4,4,2.8,3.4,5.67,4.0,1,EduYes,4.88153545710622,23.829388418985232,False,2.8,3.4,5.666666666666667,4.0,-0.21484046694591874,-0.9237445487106637,1.9772935749907699,0.007106643626035387
2,2,1,4,3,4,4,2,4,4,5,5,4,2,3,5,4,4,5,4,3,3,5,2.8,3.8,3.83,4.0,0,EduNo,4.615627122723764,21.304013736023258,False,2.8,3.8,3.8333333333333335,4.0,-0.21484046694591874,-0.4309647046293865,-0.34371505960435283,0.007106643626035387
1,3,5,3,4,5,4,4,4,4,5,2,4,3,5,4,6,4,4,5,3,3,4,4.0,4.2,4.0,3.83,1,EduYes,4.790821726427334,22.951972814408176,False,4.0,4.2,4.0,3.8333333333333335,0.8518236057855734,0.061815139451891245,-0.13271427464116006,-0.1475995214638196
2,4,2,2,2,4,2,5,5,1,4,6,5,5,5,6,5,4,5,6,1,5,6,2.8,3.4,5.33,4.5,0,EduNo,6.215197299637717,38.62867747342397,False,2.8,3.4,5.333333333333333,4.5,-0.21484046694591874,-0.9237445487106637,1.5552920050643833,0.4712251388956008
1,1,1,1,1,1,5,2,1,4,2,1,2,1,2,1,5,6,6,6,6,6,6,1.0,2.8,2.0,6.0,1,EduYes,5.610742045572011,31.480426301949596,False,1.0,2.8,2.0,6.0,-1.8148365760431566,-1.6629143148325798,-2.6647236941994756,1.863580624704297
1,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,6,4,5,2,5,4,4.2,4.8,5.0,4.33,1,EduYes,2.8973146093933324,8.394431945804039,False,4.2,4.8,5.0,4.333333333333333,1.0296009512408222,0.8009849055738067,1.1332904351379978,0.3165189738057454
1,2,3,4,3,3,5,5,4,4,4,5,6,5,4,5,6,6,5,4,4,6,4,3.0,4.4,5.17,4.83,1,EduYes,3.3207222497039983,11.027196259679183,False,3.0,4.4,5.166666666666667,4.833333333333333,-0.037063121490669926,0.30820506149253013,1.344291220101191,0.7806374690753108
1,2,3,5,3,3,6,6,4,4,5,6,4,5,4,5,4,4,3,1,6,6,2,3.2,5.0,4.67,3.67,1,EduYes,5.525515164345153,30.53131783140824,False,3.2,5.0,4.666666666666667,3.6666666666666665,0.1407142239645789,1.0473748276144457,0.7112888652116122,-0.302305686553675
1,2,1,1,2,2,6,2,6,6,5,6,2,1,1,2,3,5,4,2,5,5,6,1.6,5.0,2.5,4.5,1,EduYes,5.679553916176912,32.2573326867605,False,1.6,5.0,2.5,4.5,-1.2815045396774105,1.0473748276144457,-2.0317213393098967,0.4712251388956008
1,2,2,2,2,2,6,5,5,4,4,5,1,4,4,5,3,6,6,3,6,6,6,2.0,4.8,3.67,5.5,1,EduYes,4.096525939614326,16.781524773933032,False,2.0,4.8,3.6666666666666665,5.5,-0.9259498487669132,0.8009849055738067,-0.5547158445675462,1.3994621294347316
1,1,2,2,2,1,3,3,4,3,2,2,1,4,2,2,4,5,4,4,4,5,5,1.6,3.0,2.5,4.5,1,EduYes,3.871687546825157,14.989964460241001,False,1.6,3.0,2.5,4.5,-1.2815045396774105,-1.4165243927919409,-2.0317213393098967,0.4712251388956008
1,5,1,2,1,1,3,1,4,1,3,5,3,1,4,3,4,6,6,5,4,6,5,2.0,2.4,3.33,5.33,1,EduYes,5.157959634164033,26.604547587665568,False,2.0,2.4,3.3333333333333335,5.333333333333333,-0.9259498487669132,-2.155694158913857,-0.9767174144939317,1.2447559643448762
1,2,2,2,2,3,3,3,3,3,2,2,2,3,5,2,5,4,5,2,5,2,4,2.2,2.8,3.17,3.67,1,EduYes,4.336965922866114,18.809273416101927,False,2.2,2.8,3.1666666666666665,3.6666666666666665,-0.7481725033116644,-1.6629143148325798,-1.187718199457125,-0.302305686553675
1,2,5,5,4,2,4,4,4,4,3,4,4,5,4,3,6,5,2,2,2,2,2,3.6,3.8,4.33,2.5,1,EduYes,4.9888117363846884,24.88824254108961,False,3.6,3.8,4.333333333333333,2.5,0.49626891487507613,-0.4309647046293865,0.2892872952852255,-1.385248842182661
